,AU,SO,copyright,title,year
105,"Schweisinger, T|Svenson, EJ|Murdoch, LC",HYDROGEOLOGY JOURNAL,,Hydromechanical behavior during constant-rate pumping tests in fractured gneiss,2011
106,"Wang, YQ|Luo, Z|Kang, Z|Zhang, N",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,A multi-material level set-based topology and shape optimization method,2015
107,"Hou, T|Zhu, YH|Lu, HS|Sudicky, E|Yu, ZB|Ouyang, F",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,"Parameter sensitivity analysis and optimization of Noah land surface model with field measurements from Huaihe River Basin, China",2015
108,"Rohmer, J|Lecacheux, S|Pedreros, R|Quetelard, H|Bonnardot, F|Idier, D",NATURAL HAZARDS,,Dynamic parameter sensitivity in numerical modelling of cyclone-induced waves: a multi-look approach using advanced meta-modelling techniques,2016
109,"Chen, HY|Niu, Z|Huang, WJ|Feng, JL",JOURNAL OF APPLIED REMOTE SENSING, (C) 2013 Society of Photo-Optical Instrumentation Engineers (SPIE) [DOI: 10.1117/1.JRS.7.073577],Predicting leaf area index in wheat using an improved empirical model,2013
110,"Kim, J|Realff, MJ|Lee, JH",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Optimal design and global sensitivity analysis of biomass supply chain networks for biofuels under uncertainty,2011
111,"Moussa, R",HYDROLOGICAL PROCESSES," Copyright (c) 2007 John Wiley & Sons, Ltd.","Effect of channel network topology, basin segmentation and rainfall spatial distribution on the geomorphologic instantaneous unit hydrograph transfer function",2008
112,"Liu, JG",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved,A GIS-based tool for modelling large-scale crop-water relations,2009
113,"Mannina, G|Cosenza, A|Viviani, G",PHYSICS AND CHEMISTRY OF THE EARTH, Elsevier Ltd. All rights reserved.,Uncertainty assessment of a model for biological nitrogen and phosphorus removal: Application to a large wastewater treatment plant,2012
114,"Bennouna, A|El Hebil, C",ENERGY POLICY, Elsevier Ltd. All rights reserved.,"Energy needs for Morocco 2030, as obtained from GDP-energy and GDP-energy intensity correlations",2016
115,"Patel, H|Rahman, A",HYDROLOGY RESEARCH,,Probabilistic nature of storage delay parameter of the hydrologic model RORB: a case study for the Cooper's Creek catchment in Australia,2015
116,"Alfonso, L|Mukolwe, MM|Di Baldassarre, G",WATER RESOURCES RESEARCH,,Probabilistic Flood Maps to support decision-making: Mapping the Value of Information,2016
117,"Tiampo, KF|Fernandez, J|Jentzsch, G|Charco, M|Rundle, JB",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Volcanic source inversion using a genetic algorithm and an elastic-gravitational layered earth model for magmatic intrusions,2004
118,"Hasanipanah, M|Faradonbeh, RS|Armaghani, DJ|Amnieh, HB|Khandelwal, M",ENVIRONMENTAL EARTH SCIENCES,,Development of a precise model for prediction of blast-induced flyrock using regression tree technique,2017
119,"Sun, XY|Newham, LTH|Croke, BFW|Norton, JP",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Three complementary methods for sensitivity analysis of a water quality model,2012
120,"Tani, K|Matsui, Y|Iwao, K|Kamata, M|Matsushita, T",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Selecting analytical target pesticides in monitoring: Sensitivity analysis and scoring,2012
121,"Deng, Y|Paraskevas, D|Cao, SJ",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2017 Elsevier B.V. All rights reserved.,Incorporating denitrification-decomposition method to estimate field emissions for Life Cycle Assessment,2017
122,"Leven, C|Dietrich, P",JOURNAL OF HYDROLOGY, (C) 2005 Elsevier Ltd All rights reserved.,What information can we get from pumping tests? - comparing pumping test configurations using sensitivity coefficients,2006
123,"Tiwari, U|Cummins, E|Valero, A|Walsh, D|Dalmasso, M|Jordan, K|Duffy, G",RISK ANALYSIS,,Farm to Fork Quantitative Risk Assessment of Listeria monocytogenes Contamination in Raw and Pasteurized Milk Cheese in Ireland,2015
124,"Chen, KI|Winnick, J|Manousiouthakis, VI",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Global optimization of a simple mathematical model for a proton exchange membrane fuel cell,2006
125,"Kennedy, GJ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A full-space barrier method for stress-constrained discrete material design optimization,2016
126,"Drecourt, JP|Madsen, H|Rosbjerg, D",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Calibration framework for a Kalman filter applied to a groundwater model,2006
