AU,year,title,journal,citations,DOI link
"Ruiz-Bellet, JL | Castelltort, X | Balasch, JC | Tuset, J",2017,Uncertainty of the peak flow reconstruction of the 1907 flood in the Ebro River in Xerta (NE Iberian Peninsula),JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2016.12.041
"Baudoui, V | Klotz, P | Hiriart-Urruty, JB | Jan, S | Morel, F",2012,LOcal Uncertainty Processing (LOUP) method for multidisciplinary robust design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,3,https://dx.doi.org/10.1007/s00158-012-0798-0
"Fujihara, Y | Takase, K | Chono, S | Ichion, E | Ogura, A | Tanaka, K",2017,Influence of topography and forest characteristics on snow distributions in a forested catchment,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2017.01.021
"Hosseini, SM | Ataie-Ashtiani, B | Simmons, CT",2017,"Spring hydrograph simulation of karstic aquifers: Impacts of variable recharge area, intermediate storage and memory effects",JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2017.06.018
"Tamea, S | Butera, I",2014,Stochastic description of infiltration between aquifers,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2013.12.007
"Ramirez, BH | Teuling, AJ | Ganzeveld, L | Hegger, Z | Leemans, R",2017,Tropical Montane Cloud Forests: Hydrometeorological variability in three neighbouring catchments with different forest cover,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2017.06.023
"Zarlenga, A | de Barros, FPJ | Fiori, A",2016,Uncertainty quantification of adverse human health effects from continuously released contaminant sources in groundwater systems,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2016.07.044
"Gelleszun, M | Kreye, P | Meon, G",2017,Representative parameter estimation for hydrological models using a lexicographic calibration strategy,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2017.08.015
"Oz, I | Shalev, E | Yechieli, Y | Gvirtzman, H",2015,Saltwater circulation patterns within the freshwater-saltwater interface in coastal aquifers: Laboratory experiments and numerical modeling,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2015.10.033
"Akesson, A | Worman, A",2012,Stage-dependent hydraulic and hydromorphologic properties in stream networks translated into response functions of compartmental models,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2011.11.015
"Loosvelt, L | De Baets, B | Pauwels, VRN | Verhoest, NEC",2014,Assessing hydrologic prediction uncertainty resulting from soft land cover classification,JOURNAL OF HYDROLOGY,3,https://dx.doi.org/10.1016/j.jhydrol.2014.05.049
